id,region_id,region_name,name,classification_hint,official_code,capital,status,verification_status,source_url,retrieved_at,notes
gh-district-ashanti-akrofuom,gh-region-ashanti,Ashanti,Akrofuom,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-amansie-central,gh-region-ashanti,Ashanti,Amansie Central,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-amansie-west,gh-region-ashanti,Ashanti,Amansie West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-amansie-south,gh-region-ashanti,Ashanti,Amansie South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-asante-akim-central-municipal,gh-region-ashanti,Ashanti,Asante Akim Central Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-asante-akim-north,gh-region-ashanti,Ashanti,Asante Akim North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-asante-akim-south-municipal,gh-region-ashanti,Ashanti,Asante Akim South Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-asokore-mampong,gh-region-ashanti,Ashanti,Asokore Mampong,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-asokwa-municipal,gh-region-ashanti,Ashanti,Asokwa Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-atwima-kwanwoma,gh-region-ashanti,Ashanti,Atwima Kwanwoma,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-atwima-mponua,gh-region-ashanti,Ashanti,Atwima Mponua,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-atwima-nwabiagya-municipal,gh-region-ashanti,Ashanti,Atwima Nwabiagya Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-atwima-nwabiagya-north,gh-region-ashanti,Ashanti,Atwima Nwabiagya North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-bekwai-municipal,gh-region-ashanti,Ashanti,Bekwai Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-bosome-freho,gh-region-ashanti,Ashanti,Bosome Freho,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-bosomtwe,gh-region-ashanti,Ashanti,Bosomtwe,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-ejisu-municipal,gh-region-ashanti,Ashanti,Ejisu Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-ejura-sekyedumase-municipal,gh-region-ashanti,Ashanti,Ejura Sekyedumase Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-juaben-municipal,gh-region-ashanti,Ashanti,Juaben Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-kumasi-metropolitan,gh-region-ashanti,Ashanti,Kumasi Metropolitan,METROPOLITAN,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-kwabre-east-municipal,gh-region-ashanti,Ashanti,Kwabre East Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-kwadaso-municipal,gh-region-ashanti,Ashanti,Kwadaso Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-mampong-municipal,gh-region-ashanti,Ashanti,Mampong Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-obuasi-east-municipal,gh-region-ashanti,Ashanti,Obuasi East Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-obuasi-municipal,gh-region-ashanti,Ashanti,Obuasi Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-offinso-municipal,gh-region-ashanti,Ashanti,Offinso Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-offinso-north,gh-region-ashanti,Ashanti,Offinso North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-oforikrom-municipal,gh-region-ashanti,Ashanti,Oforikrom Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-old-tafo-municipal,gh-region-ashanti,Ashanti,Old Tafo Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-sekyere-afram-plains,gh-region-ashanti,Ashanti,Sekyere Afram Plains,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-sekyere-central,gh-region-ashanti,Ashanti,Sekyere Central,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-sekyere-east,gh-region-ashanti,Ashanti,Sekyere East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-sekyere-kumawu,gh-region-ashanti,Ashanti,Sekyere Kumawu,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-sekyere-south,gh-region-ashanti,Ashanti,Sekyere South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-suame-municipal,gh-region-ashanti,Ashanti,Suame Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-banda,gh-region-bono,Bono,Banda,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-berekum-east,gh-region-bono,Bono,Berekum East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-berekum-west,gh-region-bono,Bono,Berekum West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-dormaa-central,gh-region-bono,Bono,Dormaa Central,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-dormaa-east,gh-region-bono,Bono,Dormaa East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-dormaa-west,gh-region-bono,Bono,Dormaa West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-jaman-north,gh-region-bono,Bono,Jaman North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-jaman-south,gh-region-bono,Bono,Jaman South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-sunyani,gh-region-bono,Bono,Sunyani,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-sunyani-west,gh-region-bono,Bono,Sunyani West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-tain,gh-region-bono,Bono,Tain,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-wenchi,gh-region-bono,Bono,Wenchi,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-atebubu-amanten,gh-region-bono-east,Bono East,Atebubu-Amanten,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-kintampo-north,gh-region-bono-east,Bono East,Kintampo North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-kintampo-south,gh-region-bono-east,Bono East,Kintampo South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-nkoranza-north,gh-region-bono-east,Bono East,Nkoranza North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-nkoranza-south,gh-region-bono-east,Bono East,Nkoranza South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-pru-east,gh-region-bono-east,Bono East,Pru East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-pru-west,gh-region-bono-east,Bono East,Pru West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-sene-east,gh-region-bono-east,Bono East,Sene East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-sene-west,gh-region-bono-east,Bono East,Sene West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-techiman,gh-region-bono-east,Bono East,Techiman,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-bono-east-techiman-north,gh-region-bono-east,Bono East,Techiman North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-abura-asebu-kwamankese,gh-region-central,Central,Abura Asebu Kwamankese,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-agona-east,gh-region-central,Central,Agona East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-agona-west-municipal,gh-region-central,Central,Agona West Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-ajumako-enyan-essiam,gh-region-central,Central,Ajumako Enyan Essiam,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-asikuma-odoben-brakwa,gh-region-central,Central,Asikuma Odoben Brakwa,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-assin-central-municipal,gh-region-central,Central,Assin Central Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-assin-north,gh-region-central,Central,Assin North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-assin-south,gh-region-central,Central,Assin South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-awutu-senya-east-municipal,gh-region-central,Central,Awutu Senya East Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-central-awutu-senya-west,gh-region-central,Central,Awutu Senya West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
